Код услуги;Наименование услуги;КСГ 1;КСГ 2;КСГ 3;КСГ 4;КСГ 5;КСГ 6;КСГ 7;КСГ 8;КСГ 9;Использовано в КСГ
A07.22.001.001;Дистанционная лучевая терапия на медицинских ускорителях электронов опухолей желез внутренней секреции;st19.075;st19.077;st19.080;st19.084;st19.086;st19.088;st19.089;;;TRUE
A07.22.001.002;Дистанционная гамма-терапия опухолей желез внутренней секреции;st19.075;st19.077;st19.080;st19.084;st19.086;st19.088;st19.089;;;TRUE
A07.23.001;Дистанционная лучевая терапия при поражении центральной нервной системы и головного мозга;st19.075;st19.077;st19.080;st19.084;st19.086;st19.088;st19.089;;;TRUE
A07.23.001.002;Дистанционная гамма-терапия при поражении центральной нервной системы и головного мозга;st19.075;st19.077;st19.080;st19.084;st19.086;st19.088;st19.089;;;TRUE
A07.23.002;Дистанционная лучевая терапия при поражении позвоночника и спинного мозга;st19.075;st19.077;st19.080;st19.084;st19.086;st19.088;st19.089;;;TRUE
A07.26.002;Дистанционная лучевая терапия новообразований глаза и его придаточного аппарата;st19.075;st19.077;st19.080;st19.084;st19.086;st19.088;st19.089;;;TRUE
A07.28.001.001;Дистанционная лучевая терапия на медицинских ускорителях электронов опухолей почки и мочевыделительной системы;st19.075;st19.077;st19.080;st19.084;st19.086;st19.088;st19.089;;;TRUE
A07.28.001.002;Дистанционная гамма-терапия опухолей почки и мочевыделительной системы;st19.075;st19.077;st19.080;st19.084;st19.086;st19.088;st19.089;;;TRUE
A07.28.004;Ангионефросцинтиграфия;st25.004;;;;;;;;;TRUE
A07.30.002;Дистанционная лучевая терапия при новообразовании забрюшинного пространства;st19.075;st19.077;st19.080;st19.084;st19.086;st19.088;st19.089;;;TRUE
A07.30.003.002;Системная радионуклидная терапия радия (223Ra) хлоридом;st19.082;;;;;;;;;TRUE
A07.30.004;Внутритканевая лучевая терапия при поражении мягких тканей;st19.078;;;;;;;;;TRUE
